capacity_scenario,hour_index,region,capacity_accelerator_hours,capacity_status
central,0,east,4.0,static engineering mechanism scenario; not operator capacity
central,9,north,2.0,static engineering mechanism scenario; not operator capacity
central,9,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,9,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,10,east,4.0,static engineering mechanism scenario; not operator capacity
central,10,north,2.0,static engineering mechanism scenario; not operator capacity
central,10,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,10,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,11,east,4.0,static engineering mechanism scenario; not operator capacity
central,11,north,2.0,static engineering mechanism scenario; not operator capacity
central,11,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,11,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,12,east,4.0,static engineering mechanism scenario; not operator capacity
central,12,north,2.0,static engineering mechanism scenario; not operator capacity
central,12,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,12,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,13,east,4.0,static engineering mechanism scenario; not operator capacity
central,13,north,2.0,static engineering mechanism scenario; not operator capacity
central,13,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,13,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,14,east,4.0,static engineering mechanism scenario; not operator capacity
central,14,north,2.0,static engineering mechanism scenario; not operator capacity
central,14,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,14,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,15,east,4.0,static engineering mechanism scenario; not operator capacity
central,15,north,2.0,static engineering mechanism scenario; not operator capacity
central,15,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,15,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,16,east,4.0,static engineering mechanism scenario; not operator capacity
central,16,north,2.0,static engineering mechanism scenario; not operator capacity
central,16,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,16,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,17,east,4.0,static engineering mechanism scenario; not operator capacity
central,17,north,2.0,static engineering mechanism scenario; not operator capacity
central,17,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,17,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,18,east,4.0,static engineering mechanism scenario; not operator capacity
central,18,north,2.0,static engineering mechanism scenario; not operator capacity
central,18,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,18,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,19,east,4.0,static engineering mechanism scenario; not operator capacity
central,19,north,2.0,static engineering mechanism scenario; not operator capacity
central,19,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,19,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,20,east,4.0,static engineering mechanism scenario; not operator capacity
central,20,north,2.0,static engineering mechanism scenario; not operator capacity
central,20,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,20,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,21,east,4.0,static engineering mechanism scenario; not operator capacity
central,21,north,2.0,static engineering mechanism scenario; not operator capacity
central,21,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,21,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,22,east,4.0,static engineering mechanism scenario; not operator capacity
central,22,north,2.0,static engineering mechanism scenario; not operator capacity
central,22,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,22,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,23,east,4.0,static engineering mechanism scenario; not operator capacity
central,23,north,2.0,static engineering mechanism scenario; not operator capacity
central,23,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,23,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,24,east,4.0,static engineering mechanism scenario; not operator capacity
central,24,north,2.0,static engineering mechanism scenario; not operator capacity
central,24,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,24,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,25,east,4.0,static engineering mechanism scenario; not operator capacity
central,25,north,2.0,static engineering mechanism scenario; not operator capacity
central,25,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,25,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,26,east,4.0,static engineering mechanism scenario; not operator capacity
central,26,north,2.0,static engineering mechanism scenario; not operator capacity
central,26,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,26,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,27,east,4.0,static engineering mechanism scenario; not operator capacity
central,27,north,2.0,static engineering mechanism scenario; not operator capacity
central,27,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,27,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,28,east,4.0,static engineering mechanism scenario; not operator capacity
central,28,north,2.0,static engineering mechanism scenario; not operator capacity
central,28,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,28,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,29,east,4.0,static engineering mechanism scenario; not operator capacity
central,29,north,2.0,static engineering mechanism scenario; not operator capacity
central,29,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,29,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,30,east,4.0,static engineering mechanism scenario; not operator capacity
central,30,north,2.0,static engineering mechanism scenario; not operator capacity
central,30,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,30,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,31,east,4.0,static engineering mechanism scenario; not operator capacity
central,31,north,2.0,static engineering mechanism scenario; not operator capacity
central,31,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,31,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,32,east,4.0,static engineering mechanism scenario; not operator capacity
central,32,north,2.0,static engineering mechanism scenario; not operator capacity
central,32,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,32,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,33,east,4.0,static engineering mechanism scenario; not operator capacity
central,33,north,2.0,static engineering mechanism scenario; not operator capacity
central,33,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,33,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,34,east,4.0,static engineering mechanism scenario; not operator capacity
central,34,north,2.0,static engineering mechanism scenario; not operator capacity
central,34,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,34,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,35,east,4.0,static engineering mechanism scenario; not operator capacity
central,35,north,2.0,static engineering mechanism scenario; not operator capacity
central,35,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,35,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,36,east,4.0,static engineering mechanism scenario; not operator capacity
central,36,north,2.0,static engineering mechanism scenario; not operator capacity
central,36,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,36,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,37,east,4.0,static engineering mechanism scenario; not operator capacity
central,37,north,2.0,static engineering mechanism scenario; not operator capacity
central,37,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,37,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,38,east,4.0,static engineering mechanism scenario; not operator capacity
central,38,north,2.0,static engineering mechanism scenario; not operator capacity
central,38,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,38,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,39,east,4.0,static engineering mechanism scenario; not operator capacity
central,39,north,2.0,static engineering mechanism scenario; not operator capacity
central,39,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,39,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,40,east,4.0,static engineering mechanism scenario; not operator capacity
central,40,north,2.0,static engineering mechanism scenario; not operator capacity
central,40,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,40,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,41,east,4.0,static engineering mechanism scenario; not operator capacity
central,41,north,2.0,static engineering mechanism scenario; not operator capacity
central,41,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,41,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,42,east,4.0,static engineering mechanism scenario; not operator capacity
central,42,north,2.0,static engineering mechanism scenario; not operator capacity
central,42,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,42,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,43,east,4.0,static engineering mechanism scenario; not operator capacity
central,43,north,2.0,static engineering mechanism scenario; not operator capacity
central,43,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,43,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,44,east,4.0,static engineering mechanism scenario; not operator capacity
central,44,north,2.0,static engineering mechanism scenario; not operator capacity
central,44,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,44,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,45,east,4.0,static engineering mechanism scenario; not operator capacity
central,45,north,2.0,static engineering mechanism scenario; not operator capacity
central,45,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,45,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,46,east,4.0,static engineering mechanism scenario; not operator capacity
central,46,north,2.0,static engineering mechanism scenario; not operator capacity
central,46,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,46,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,47,east,4.0,static engineering mechanism scenario; not operator capacity
central,47,north,2.0,static engineering mechanism scenario; not operator capacity
central,47,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,47,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,48,east,4.0,static engineering mechanism scenario; not operator capacity
central,48,north,2.0,static engineering mechanism scenario; not operator capacity
central,48,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,48,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,49,east,4.0,static engineering mechanism scenario; not operator capacity
central,49,north,2.0,static engineering mechanism scenario; not operator capacity
central,49,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,49,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,50,east,4.0,static engineering mechanism scenario; not operator capacity
central,50,north,2.0,static engineering mechanism scenario; not operator capacity
central,50,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,50,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,51,east,4.0,static engineering mechanism scenario; not operator capacity
central,51,north,2.0,static engineering mechanism scenario; not operator capacity
central,51,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,51,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,52,east,4.0,static engineering mechanism scenario; not operator capacity
central,52,north,2.0,static engineering mechanism scenario; not operator capacity
central,52,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,52,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,53,east,4.0,static engineering mechanism scenario; not operator capacity
central,53,north,2.0,static engineering mechanism scenario; not operator capacity
central,53,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,53,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,54,east,4.0,static engineering mechanism scenario; not operator capacity
central,54,north,2.0,static engineering mechanism scenario; not operator capacity
central,54,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,54,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,55,east,4.0,static engineering mechanism scenario; not operator capacity
central,55,north,2.0,static engineering mechanism scenario; not operator capacity
central,55,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,55,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,56,east,4.0,static engineering mechanism scenario; not operator capacity
central,56,north,2.0,static engineering mechanism scenario; not operator capacity
central,56,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,56,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,57,east,4.0,static engineering mechanism scenario; not operator capacity
central,57,north,2.0,static engineering mechanism scenario; not operator capacity
central,57,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,57,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,58,east,4.0,static engineering mechanism scenario; not operator capacity
central,58,north,2.0,static engineering mechanism scenario; not operator capacity
central,58,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,58,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,59,east,4.0,static engineering mechanism scenario; not operator capacity
central,59,north,2.0,static engineering mechanism scenario; not operator capacity
central,59,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,59,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,60,east,4.0,static engineering mechanism scenario; not operator capacity
central,60,north,2.0,static engineering mechanism scenario; not operator capacity
central,60,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,60,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,61,east,4.0,static engineering mechanism scenario; not operator capacity
central,61,north,2.0,static engineering mechanism scenario; not operator capacity
central,61,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,61,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,62,east,4.0,static engineering mechanism scenario; not operator capacity
central,62,north,2.0,static engineering mechanism scenario; not operator capacity
central,62,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,62,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,63,east,4.0,static engineering mechanism scenario; not operator capacity
central,63,north,2.0,static engineering mechanism scenario; not operator capacity
central,63,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,63,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,64,east,4.0,static engineering mechanism scenario; not operator capacity
central,64,north,2.0,static engineering mechanism scenario; not operator capacity
central,64,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,64,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,65,east,4.0,static engineering mechanism scenario; not operator capacity
central,65,north,2.0,static engineering mechanism scenario; not operator capacity
central,65,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,65,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,66,east,4.0,static engineering mechanism scenario; not operator capacity
central,66,north,2.0,static engineering mechanism scenario; not operator capacity
central,66,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,66,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,67,east,4.0,static engineering mechanism scenario; not operator capacity
central,67,north,2.0,static engineering mechanism scenario; not operator capacity
central,67,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,67,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,68,east,4.0,static engineering mechanism scenario; not operator capacity
central,68,north,2.0,static engineering mechanism scenario; not operator capacity
central,68,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,68,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,69,east,4.0,static engineering mechanism scenario; not operator capacity
central,69,north,2.0,static engineering mechanism scenario; not operator capacity
central,69,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,69,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,70,east,4.0,static engineering mechanism scenario; not operator capacity
central,70,north,2.0,static engineering mechanism scenario; not operator capacity
central,70,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,70,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,71,east,4.0,static engineering mechanism scenario; not operator capacity
central,71,north,2.0,static engineering mechanism scenario; not operator capacity
central,71,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,71,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,72,east,4.0,static engineering mechanism scenario; not operator capacity
central,72,north,2.0,static engineering mechanism scenario; not operator capacity
central,72,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,72,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,73,east,4.0,static engineering mechanism scenario; not operator capacity
central,73,north,2.0,static engineering mechanism scenario; not operator capacity
central,73,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,73,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,74,east,4.0,static engineering mechanism scenario; not operator capacity
central,74,north,2.0,static engineering mechanism scenario; not operator capacity
central,74,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,74,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,75,east,4.0,static engineering mechanism scenario; not operator capacity
central,75,north,2.0,static engineering mechanism scenario; not operator capacity
central,75,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,75,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,76,east,4.0,static engineering mechanism scenario; not operator capacity
central,76,north,2.0,static engineering mechanism scenario; not operator capacity
central,76,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,76,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,77,east,4.0,static engineering mechanism scenario; not operator capacity
central,77,north,2.0,static engineering mechanism scenario; not operator capacity
central,77,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,77,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,78,east,4.0,static engineering mechanism scenario; not operator capacity
central,78,north,2.0,static engineering mechanism scenario; not operator capacity
central,78,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,78,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,79,east,4.0,static engineering mechanism scenario; not operator capacity
central,79,north,2.0,static engineering mechanism scenario; not operator capacity
central,79,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,79,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,80,east,4.0,static engineering mechanism scenario; not operator capacity
central,80,north,2.0,static engineering mechanism scenario; not operator capacity
central,80,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,80,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,81,east,4.0,static engineering mechanism scenario; not operator capacity
central,81,north,2.0,static engineering mechanism scenario; not operator capacity
central,81,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,81,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,82,east,4.0,static engineering mechanism scenario; not operator capacity
central,82,north,2.0,static engineering mechanism scenario; not operator capacity
central,82,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,82,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,83,east,4.0,static engineering mechanism scenario; not operator capacity
central,83,north,2.0,static engineering mechanism scenario; not operator capacity
central,83,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,83,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,84,east,4.0,static engineering mechanism scenario; not operator capacity
central,84,north,2.0,static engineering mechanism scenario; not operator capacity
central,84,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,84,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,85,east,4.0,static engineering mechanism scenario; not operator capacity
central,85,north,2.0,static engineering mechanism scenario; not operator capacity
central,85,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,85,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,86,east,4.0,static engineering mechanism scenario; not operator capacity
central,86,north,2.0,static engineering mechanism scenario; not operator capacity
central,86,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,86,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,87,east,4.0,static engineering mechanism scenario; not operator capacity
central,87,north,2.0,static engineering mechanism scenario; not operator capacity
central,87,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,87,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,88,east,4.0,static engineering mechanism scenario; not operator capacity
central,88,north,2.0,static engineering mechanism scenario; not operator capacity
central,88,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,88,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,89,east,4.0,static engineering mechanism scenario; not operator capacity
central,89,north,2.0,static engineering mechanism scenario; not operator capacity
central,89,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,89,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,90,east,4.0,static engineering mechanism scenario; not operator capacity
central,90,north,2.0,static engineering mechanism scenario; not operator capacity
central,90,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,90,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,91,east,4.0,static engineering mechanism scenario; not operator capacity
central,91,north,2.0,static engineering mechanism scenario; not operator capacity
central,91,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,91,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,92,east,4.0,static engineering mechanism scenario; not operator capacity
central,92,north,2.0,static engineering mechanism scenario; not operator capacity
central,92,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,92,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,93,east,4.0,static engineering mechanism scenario; not operator capacity
central,93,north,2.0,static engineering mechanism scenario; not operator capacity
central,93,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,93,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,94,east,4.0,static engineering mechanism scenario; not operator capacity
central,94,north,2.0,static engineering mechanism scenario; not operator capacity
central,94,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,94,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,95,east,4.0,static engineering mechanism scenario; not operator capacity
central,95,north,2.0,static engineering mechanism scenario; not operator capacity
central,95,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,95,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,96,east,4.0,static engineering mechanism scenario; not operator capacity
central,96,north,2.0,static engineering mechanism scenario; not operator capacity
central,96,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,96,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,97,east,4.0,static engineering mechanism scenario; not operator capacity
central,97,north,2.0,static engineering mechanism scenario; not operator capacity
central,97,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,97,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,98,east,4.0,static engineering mechanism scenario; not operator capacity
central,98,north,2.0,static engineering mechanism scenario; not operator capacity
central,98,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,98,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,99,east,4.0,static engineering mechanism scenario; not operator capacity
central,99,north,2.0,static engineering mechanism scenario; not operator capacity
central,99,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,99,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,100,east,4.0,static engineering mechanism scenario; not operator capacity
central,100,north,2.0,static engineering mechanism scenario; not operator capacity
central,100,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,100,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,101,east,4.0,static engineering mechanism scenario; not operator capacity
central,101,north,2.0,static engineering mechanism scenario; not operator capacity
central,101,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,101,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,102,east,4.0,static engineering mechanism scenario; not operator capacity
central,102,north,2.0,static engineering mechanism scenario; not operator capacity
central,102,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,102,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,103,east,4.0,static engineering mechanism scenario; not operator capacity
central,103,north,2.0,static engineering mechanism scenario; not operator capacity
central,103,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,103,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,104,east,4.0,static engineering mechanism scenario; not operator capacity
central,104,north,2.0,static engineering mechanism scenario; not operator capacity
central,104,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,104,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,105,east,4.0,static engineering mechanism scenario; not operator capacity
central,105,north,2.0,static engineering mechanism scenario; not operator capacity
central,105,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,105,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,106,east,4.0,static engineering mechanism scenario; not operator capacity
central,106,north,2.0,static engineering mechanism scenario; not operator capacity
central,106,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,106,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,107,east,4.0,static engineering mechanism scenario; not operator capacity
central,107,north,2.0,static engineering mechanism scenario; not operator capacity
central,107,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,107,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,108,east,4.0,static engineering mechanism scenario; not operator capacity
central,108,north,2.0,static engineering mechanism scenario; not operator capacity
central,108,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,108,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,109,east,4.0,static engineering mechanism scenario; not operator capacity
central,109,north,2.0,static engineering mechanism scenario; not operator capacity
central,109,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,109,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,110,east,4.0,static engineering mechanism scenario; not operator capacity
central,110,north,2.0,static engineering mechanism scenario; not operator capacity
central,110,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,110,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,111,east,4.0,static engineering mechanism scenario; not operator capacity
central,111,north,2.0,static engineering mechanism scenario; not operator capacity
central,111,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,111,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,112,east,4.0,static engineering mechanism scenario; not operator capacity
central,112,north,2.0,static engineering mechanism scenario; not operator capacity
central,112,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,112,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,113,east,4.0,static engineering mechanism scenario; not operator capacity
central,113,north,2.0,static engineering mechanism scenario; not operator capacity
central,113,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,113,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,114,east,4.0,static engineering mechanism scenario; not operator capacity
central,114,north,2.0,static engineering mechanism scenario; not operator capacity
central,114,northwest,2.0,static engineering mechanism scenario; not operator capacity
central,114,southwest,2.0,static engineering mechanism scenario; not operator capacity
central,115,east,4.0,static engineering mechanism scenario; not operator capacity
central,115,north,2.0,static engineering mechanism scenario; not operator capacity
central,115,northwest,2.0,static engineering mechanism scenario; not operator capacity
