hour_index,trace_timestamp_anonymized,request_count,service_accelerator_hours,total_images
34,2024-11-17 02:00:00,1.0,0.006111111111111111,1.0
35,2024-11-17 03:00:00,11.0,0.05611111111111112,11.0
36,2024-11-17 04:00:00,4.0,0.02277777777777778,8.0
37,2024-11-17 05:00:00,1.0,0.0038888888888888888,1.0
38,2024-11-17 06:00:00,0.0,0.0,0.0
39,2024-11-17 07:00:00,0.0,0.0,0.0
40,2024-11-17 08:00:00,0.0,0.0,0.0
41,2024-11-17 09:00:00,0.0,0.0,0.0
42,2024-11-17 10:00:00,0.0,0.0,0.0
43,2024-11-17 11:00:00,0.0,0.0,0.0
44,2024-11-17 12:00:00,0.0,0.0,0.0
45,2024-11-17 13:00:00,0.0,0.0,0.0
46,2024-11-17 14:00:00,0.0,0.0,0.0
47,2024-11-17 15:00:00,0.0,0.0,0.0
48,2024-11-17 16:00:00,0.0,0.0,0.0
49,2024-11-17 17:00:00,1.0,0.0077777777777777776,8.0
50,2024-11-17 18:00:00,10.0,0.06944444444444445,31.0
51,2024-11-17 19:00:00,5.0,0.029722222222222223,5.0
52,2024-11-17 20:00:00,0.0,0.0,0.0
53,2024-11-17 21:00:00,30.0,0.20777777777777778,43.0
54,2024-11-17 22:00:00,19.0,0.15305555555555556,32.0
55,2024-11-17 23:00:00,0.0,0.0,0.0
56,2024-11-18 00:00:00,4.0,0.017222222222222222,5.0
57,2024-11-18 01:00:00,0.0,0.0,0.0
58,2024-11-18 02:00:00,6.0,0.023055555555555555,6.0
59,2024-11-18 03:00:00,22.0,0.09666666666666666,63.0
60,2024-11-18 04:00:00,0.0,0.0,0.0
61,2024-11-18 05:00:00,0.0,0.0,0.0
62,2024-11-18 06:00:00,1.0,0.0044444444444444444,1.0
63,2024-11-18 07:00:00,8.0,0.028888888888888888,8.0
64,2024-11-18 08:00:00,0.0,0.0,0.0
65,2024-11-18 09:00:00,5.0,0.020833333333333336,5.0
66,2024-11-18 10:00:00,0.0,0.0,0.0
67,2024-11-18 11:00:00,0.0,0.0,0.0
68,2024-11-18 12:00:00,0.0,0.0,0.0
69,2024-11-18 13:00:00,0.0,0.0,0.0
70,2024-11-18 14:00:00,0.0,0.0,0.0
71,2024-11-18 15:00:00,0.0,0.0,0.0
72,2024-11-18 16:00:00,0.0,0.0,0.0
73,2024-11-18 17:00:00,1.0,0.008888888888888889,1.0
74,2024-11-18 18:00:00,1.0,0.01138888888888889,1.0
75,2024-11-18 19:00:00,0.0,0.0,0.0
76,2024-11-18 20:00:00,0.0,0.0,0.0
77,2024-11-18 21:00:00,5.0,0.03833333333333333,5.0
78,2024-11-18 22:00:00,0.0,0.0,0.0
79,2024-11-18 23:00:00,5.0,0.03138888888888889,5.0
80,2024-11-19 00:00:00,0.0,0.0,0.0
81,2024-11-19 01:00:00,14.0,0.12277777777777778,45.0
82,2024-11-19 02:00:00,1.0,0.006666666666666667,8.0
83,2024-11-19 03:00:00,2.0,0.024722222222222222,9.0
84,2024-11-19 04:00:00,6.0,0.07444444444444445,6.0
85,2024-11-19 05:00:00,6.0,0.028055555555555556,6.0
86,2024-11-19 06:00:00,0.0,0.0,0.0
87,2024-11-19 07:00:00,0.0,0.0,0.0
88,2024-11-19 08:00:00,0.0,0.0,0.0
89,2024-11-19 09:00:00,0.0,0.0,0.0
90,2024-11-19 10:00:00,0.0,0.0,0.0
91,2024-11-19 11:00:00,0.0,0.0,0.0
92,2024-11-19 12:00:00,0.0,0.0,0.0
93,2024-11-19 13:00:00,0.0,0.0,0.0
94,2024-11-19 14:00:00,0.0,0.0,0.0
95,2024-11-19 15:00:00,0.0,0.0,0.0
96,2024-11-19 16:00:00,24.0,0.16916666666666666,68.0
97,2024-11-19 17:00:00,58.0,0.3208333333333333,96.0
98,2024-11-19 18:00:00,80.0,0.4361111111111111,113.0
99,2024-11-19 19:00:00,12.0,0.059166666666666666,12.0
100,2024-11-19 20:00:00,32.0,0.20500000000000002,75.0
101,2024-11-19 21:00:00,148.0,0.9347222222222222,355.0
102,2024-11-19 22:00:00,115.0,0.7355555555555555,198.0
103,2024-11-19 23:00:00,63.0,0.40194444444444444,167.0
104,2024-11-20 00:00:00,80.0,0.4061111111111111,132.0
105,2024-11-20 01:00:00,29.0,0.21222222222222223,50.0
106,2024-11-20 02:00:00,37.0,0.17694444444444446,64.0
107,2024-11-20 03:00:00,53.0,0.2833333333333333,127.0
108,2024-11-20 04:00:00,5.0,0.028055555555555556,5.0
109,2024-11-20 05:00:00,2.0,0.03027777777777778,2.0
110,2024-11-20 06:00:00,1.0,0.003611111111111111,2.0
111,2024-11-20 07:00:00,0.0,0.0,0.0
112,2024-11-20 08:00:00,11.0,0.13194444444444445,29.0
113,2024-11-20 09:00:00,3.0,0.016944444444444446,3.0
114,2024-11-20 10:00:00,0.0,0.0,0.0
115,2024-11-20 11:00:00,0.0,0.0,0.0
116,2024-11-20 12:00:00,0.0,0.0,0.0
117,2024-11-20 13:00:00,0.0,0.0,0.0
118,2024-11-20 14:00:00,0.0,0.0,0.0
119,2024-11-20 15:00:00,0.0,0.0,0.0
120,2024-11-20 16:00:00,20.0,0.21138888888888888,43.0
121,2024-11-20 17:00:00,92.0,0.5874999999999999,240.0
122,2024-11-20 18:00:00,181.0,1.307777777777778,603.0
123,2024-11-20 19:00:00,13.0,0.14444444444444446,45.0
124,2024-11-20 20:00:00,30.0,0.1786111111111111,61.0
125,2024-11-20 21:00:00,189.0,1.3411111111111111,631.0
126,2024-11-20 22:00:00,149.0,1.0691666666666668,300.0
127,2024-11-20 23:00:00,200.0,1.2069444444444446,338.0
128,2024-11-21 00:00:00,350.0,2.2422222222222223,683.0
129,2024-11-21 01:00:00,69.0,0.4802777777777778,322.0
130,2024-11-21 02:00:00,29.0,0.2036111111111111,62.0
131,2024-11-21 03:00:00,34.0,0.3277777777777778,109.0
132,2024-11-21 04:00:00,7.0,0.045,13.0
133,2024-11-21 05:00:00,7.0,0.05555555555555555,19.0
134,2024-11-21 06:00:00,1.0,0.006666666666666667,1.0
135,2024-11-21 07:00:00,0.0,0.0,0.0
136,2024-11-21 08:00:00,0.0,0.0,0.0
137,2024-11-21 09:00:00,0.0,0.0,0.0
138,2024-11-21 10:00:00,0.0,0.0,0.0
139,2024-11-21 11:00:00,0.0,0.0,0.0
140,2024-11-21 12:00:00,0.0,0.0,0.0
141,2024-11-21 13:00:00,0.0,0.0,0.0
142,2024-11-21 14:00:00,0.0,0.0,0.0
143,2024-11-21 15:00:00,0.0,0.0,0.0
144,2024-11-21 16:00:00,67.0,0.43083333333333335,204.0
145,2024-11-21 17:00:00,143.0,0.9205555555555556,295.0
146,2024-11-21 18:00:00,168.0,0.8444444444444444,381.0
147,2024-11-21 19:00:00,17.0,0.10138888888888889,51.0
148,2024-11-21 20:00:00,56.0,0.3638888888888889,184.0
149,2024-11-21 21:00:00,230.0,1.465277777777778,713.0
150,2024-11-21 22:00:00,137.0,1.0022222222222221,323.0
151,2024-11-21 23:00:00,240.0,1.7372222222222222,512.0
152,2024-11-22 00:00:00,194.0,1.4080555555555554,645.0
153,2024-11-22 01:00:00,56.0,0.34944444444444445,113.0
154,2024-11-22 02:00:00,68.0,0.36444444444444446,127.0
155,2024-11-22 03:00:00,29.0,0.19416666666666668,85.0
156,2024-11-22 04:00:00,21.0,0.3522222222222222,69.0
157,2024-11-22 05:00:00,9.0,0.042777777777777776,20.0
158,2024-11-22 06:00:00,0.0,0.0,0.0
159,2024-11-22 07:00:00,0.0,0.0,0.0
160,2024-11-22 08:00:00,31.0,0.17194444444444446,85.0
161,2024-11-22 09:00:00,27.0,0.11166666666666666,93.0
162,2024-11-22 10:00:00,0.0,0.0,0.0
163,2024-11-22 11:00:00,0.0,0.0,0.0
164,2024-11-22 12:00:00,0.0,0.0,0.0
165,2024-11-22 13:00:00,0.0,0.0,0.0
166,2024-11-22 14:00:00,3.0,0.021388888888888888,3.0
167,2024-11-22 15:00:00,10.0,0.07972222222222222,10.0
168,2024-11-22 16:00:00,21.0,0.19833333333333333,43.0
169,2024-11-22 17:00:00,86.0,0.765,166.0
170,2024-11-22 18:00:00,107.0,0.7352777777777778,269.0
171,2024-11-22 19:00:00,44.0,0.2663888888888889,67.0
172,2024-11-22 20:00:00,48.0,0.35833333333333334,91.0
173,2024-11-22 21:00:00,154.0,0.8269444444444444,186.0
174,2024-11-22 22:00:00,223.0,1.4041666666666668,536.0
175,2024-11-22 23:00:00,319.0,2.022777777777778,894.0
176,2024-11-23 00:00:00,269.0,2.2041666666666666,858.0
177,2024-11-23 01:00:00,63.0,0.6830555555555556,209.0
178,2024-11-23 02:00:00,10.0,0.2561111111111111,19.0
179,2024-11-23 03:00:00,16.0,0.6847222222222222,35.0
180,2024-11-23 04:00:00,31.0,0.30972222222222223,109.0
181,2024-11-23 05:00:00,4.0,0.08888888888888889,16.0
182,2024-11-23 06:00:00,5.0,0.06138888888888889,5.0
183,2024-11-23 07:00:00,1.0,0.0077777777777777776,1.0
184,2024-11-23 08:00:00,0.0,0.0,0.0
185,2024-11-23 09:00:00,0.0,0.0,0.0
186,2024-11-23 10:00:00,0.0,0.0,0.0
187,2024-11-23 11:00:00,0.0,0.0,0.0
188,2024-11-23 12:00:00,0.0,0.0,0.0
189,2024-11-23 13:00:00,0.0,0.0,0.0
190,2024-11-23 14:00:00,0.0,0.0,0.0
191,2024-11-23 15:00:00,0.0,0.0,0.0
192,2024-11-23 16:00:00,0.0,0.0,0.0
193,2024-11-23 17:00:00,0.0,0.0,0.0
194,2024-11-23 18:00:00,6.0,0.03194444444444445,12.0
195,2024-11-23 19:00:00,1.0,0.004166666666666667,1.0
196,2024-11-23 20:00:00,0.0,0.0,0.0
197,2024-11-23 21:00:00,9.0,0.060833333333333336,37.0
198,2024-11-23 22:00:00,4.0,0.02388888888888889,4.0
199,2024-11-23 23:00:00,0.0,0.0,0.0
200,2024-11-24 00:00:00,14.0,0.08444444444444443,15.0
201,2024-11-24 01:00:00,2.0,0.011666666666666667,2.0
202,2024-11-24 02:00:00,0.0,0.0,0.0
203,2024-11-24 03:00:00,0.0,0.0,0.0
204,2024-11-24 04:00:00,12.0,0.060000000000000005,82.0
205,2024-11-24 05:00:00,9.0,0.05138888888888889,9.0
206,2024-11-24 06:00:00,18.0,0.11861111111111111,20.0
207,2024-11-24 07:00:00,3.0,0.04055555555555555,9.0
208,2024-11-24 08:00:00,7.0,0.09194444444444444,28.0
209,2024-11-24 09:00:00,0.0,0.0,0.0
210,2024-11-24 10:00:00,0.0,0.0,0.0
211,2024-11-24 11:00:00,0.0,0.0,0.0
212,2024-11-24 12:00:00,0.0,0.0,0.0
213,2024-11-24 13:00:00,0.0,0.0,0.0
214,2024-11-24 14:00:00,0.0,0.0,0.0
215,2024-11-24 15:00:00,0.0,0.0,0.0
216,2024-11-24 16:00:00,32.0,0.24444444444444446,67.0
217,2024-11-24 17:00:00,123.0,1.1394444444444445,286.0
218,2024-11-24 18:00:00,181.0,1.3033333333333332,420.0
219,2024-11-24 19:00:00,16.0,0.10222222222222223,25.0
220,2024-11-24 20:00:00,54.0,0.36777777777777776,104.0
221,2024-11-24 21:00:00,242.0,2.0452777777777778,514.0
222,2024-11-24 22:00:00,233.0,1.7733333333333334,522.0
223,2024-11-24 23:00:00,204.0,1.4513888888888888,547.0
224,2024-11-25 00:00:00,162.0,1.1905555555555556,451.0
225,2024-11-25 01:00:00,41.0,0.2772222222222222,188.0
226,2024-11-25 02:00:00,56.0,0.5027777777777778,147.0
227,2024-11-25 03:00:00,36.0,0.2016666666666667,76.0
228,2024-11-25 04:00:00,45.0,0.6502777777777777,155.0
229,2024-11-25 05:00:00,15.0,0.08694444444444445,35.0
230,2024-11-25 06:00:00,33.0,0.23111111111111113,157.0
231,2024-11-25 07:00:00,15.0,0.06777777777777777,15.0
232,2024-11-25 08:00:00,0.0,0.0,0.0
233,2024-11-25 09:00:00,2.0,0.01,2.0
234,2024-11-25 10:00:00,10.0,0.04027777777777778,10.0
235,2024-11-25 11:00:00,0.0,0.0,0.0
236,2024-11-25 12:00:00,0.0,0.0,0.0
237,2024-11-25 13:00:00,0.0,0.0,0.0
238,2024-11-25 14:00:00,0.0,0.0,0.0
239,2024-11-25 15:00:00,3.0,0.03361111111111111,9.0
240,2024-11-25 16:00:00,17.0,0.15638888888888888,38.0
241,2024-11-25 17:00:00,129.0,1.149722222222222,347.0
242,2024-11-25 18:00:00,166.0,1.4533333333333334,463.0
243,2024-11-25 19:00:00,18.0,0.12861111111111112,36.0
244,2024-11-25 20:00:00,57.0,0.47694444444444445,173.0
245,2024-11-25 21:00:00,202.0,1.5877777777777777,533.0
246,2024-11-25 22:00:00,249.0,1.725,676.0
247,2024-11-25 23:00:00,213.0,1.3675,555.0
248,2024-11-26 00:00:00,250.0,1.5616666666666668,580.0
249,2024-11-26 01:00:00,45.0,0.22555555555555554,162.0
250,2024-11-26 02:00:00,57.0,0.4663888888888889,139.0
251,2024-11-26 03:00:00,81.0,0.5055555555555555,112.0
252,2024-11-26 04:00:00,22.0,0.14472222222222222,41.0
253,2024-11-26 05:00:00,19.0,0.3466666666666667,74.0
254,2024-11-26 06:00:00,11.0,0.050833333333333335,15.0
255,2024-11-26 07:00:00,8.0,0.03666666666666667,20.0
256,2024-11-26 08:00:00,4.0,0.02666666666666667,7.0
257,2024-11-26 09:00:00,0.0,0.0,0.0
258,2024-11-26 10:00:00,14.0,0.06361111111111112,45.0
259,2024-11-26 11:00:00,0.0,0.0,0.0
260,2024-11-26 12:00:00,0.0,0.0,0.0
261,2024-11-26 13:00:00,0.0,0.0,0.0
262,2024-11-26 14:00:00,0.0,0.0,0.0
263,2024-11-26 15:00:00,2.0,0.015,8.0
264,2024-11-26 16:00:00,36.0,0.3263888888888889,113.0
265,2024-11-26 17:00:00,145.0,1.103611111111111,472.0
266,2024-11-26 18:00:00,195.0,1.6822222222222223,593.0
267,2024-11-26 19:00:00,55.0,0.44805555555555554,187.0
268,2024-11-26 20:00:00,58.0,0.41805555555555557,158.0
269,2024-11-26 21:00:00,219.0,1.8944444444444446,736.0
270,2024-11-26 22:00:00,276.0,2.3105555555555557,727.0
271,2024-11-26 23:00:00,234.0,2.5038888888888886,690.0
272,2024-11-27 00:00:00,203.0,2.1097222222222225,398.0
273,2024-11-27 01:00:00,35.0,0.25166666666666665,95.0
274,2024-11-27 02:00:00,25.0,0.18722222222222223,52.0
275,2024-11-27 03:00:00,30.0,0.23583333333333334,109.0
276,2024-11-27 04:00:00,30.0,0.20500000000000002,114.0
277,2024-11-27 05:00:00,11.0,0.07833333333333334,23.0
278,2024-11-27 06:00:00,24.0,0.15694444444444444,61.0
279,2024-11-27 07:00:00,4.0,0.025277777777777777,16.0
280,2024-11-27 08:00:00,0.0,0.0,0.0
281,2024-11-27 09:00:00,2.0,0.010555555555555556,8.0
282,2024-11-27 10:00:00,1.0,0.005277777777777778,4.0
283,2024-11-27 11:00:00,2.0,0.021388888888888888,2.0
284,2024-11-27 12:00:00,0.0,0.0,0.0
285,2024-11-27 13:00:00,0.0,0.0,0.0
286,2024-11-27 14:00:00,0.0,0.0,0.0
287,2024-11-27 15:00:00,0.0,0.0,0.0
288,2024-11-27 16:00:00,34.0,0.2627777777777778,75.0
289,2024-11-27 17:00:00,133.0,1.2897222222222222,405.0
290,2024-11-27 18:00:00,161.0,1.7561111111111112,631.0
291,2024-11-27 19:00:00,22.0,0.18694444444444444,32.0
292,2024-11-27 20:00:00,72.0,0.4444444444444444,226.0
293,2024-11-27 21:00:00,169.0,1.395,469.0
294,2024-11-27 22:00:00,189.0,1.7705555555555557,647.0
295,2024-11-27 23:00:00,185.0,1.4577777777777778,518.0
296,2024-11-28 00:00:00,231.0,1.6247222222222224,674.0
297,2024-11-28 01:00:00,86.0,0.5988888888888889,206.0
298,2024-11-28 02:00:00,89.0,0.62,183.0
299,2024-11-28 03:00:00,70.0,0.44305555555555554,157.0
300,2024-11-28 04:00:00,23.0,0.15333333333333332,67.0
301,2024-11-28 05:00:00,18.0,0.1502777777777778,87.0
302,2024-11-28 06:00:00,27.0,0.2638888888888889,93.0
303,2024-11-28 07:00:00,25.0,0.21305555555555555,88.0
304,2024-11-28 08:00:00,1.0,0.007222222222222222,1.0
305,2024-11-28 09:00:00,0.0,0.0,0.0
306,2024-11-28 10:00:00,0.0,0.0,0.0
307,2024-11-28 11:00:00,0.0,0.0,0.0
308,2024-11-28 12:00:00,0.0,0.0,0.0
309,2024-11-28 13:00:00,0.0,0.0,0.0
310,2024-11-28 14:00:00,0.0,0.0,0.0
311,2024-11-28 15:00:00,13.0,0.0875,13.0
312,2024-11-28 16:00:00,77.0,0.5336111111111111,137.0
313,2024-11-28 17:00:00,160.0,1.3083333333333333,398.0
314,2024-11-28 18:00:00,230.0,1.5744444444444445,451.0
315,2024-11-28 19:00:00,41.0,0.2588888888888889,82.0
316,2024-11-28 20:00:00,104.0,0.6980555555555555,246.0
317,2024-11-28 21:00:00,249.0,1.4216666666666666,450.0
318,2024-11-28 22:00:00,251.0,1.8269444444444445,752.0
319,2024-11-28 23:00:00,196.0,1.4855555555555555,588.0
320,2024-11-29 00:00:00,315.0,2.236111111111111,816.0
321,2024-11-29 01:00:00,48.0,0.5633333333333334,173.0
322,2024-11-29 02:00:00,14.0,0.06166666666666667,32.0
323,2024-11-29 03:00:00,3.0,0.013611111111111112,3.0
324,2024-11-29 04:00:00,32.0,0.22944444444444445,220.0
325,2024-11-29 05:00:00,54.0,0.25027777777777777,334.0
326,2024-11-29 06:00:00,76.0,0.3836111111111111,449.0
327,2024-11-29 07:00:00,91.0,0.46,708.0
328,2024-11-29 08:00:00,12.0,0.07944444444444444,64.0
329,2024-11-29 09:00:00,1.0,0.007222222222222222,4.0
330,2024-11-29 10:00:00,0.0,0.0,0.0
331,2024-11-29 11:00:00,0.0,0.0,0.0
332,2024-11-29 12:00:00,0.0,0.0,0.0
333,2024-11-29 13:00:00,0.0,0.0,0.0
334,2024-11-29 14:00:00,0.0,0.0,0.0
335,2024-11-29 15:00:00,0.0,0.0,0.0
336,2024-11-29 16:00:00,5.0,0.03916666666666667,40.0
337,2024-11-29 17:00:00,11.0,0.0675,29.0
338,2024-11-29 18:00:00,15.0,0.11305555555555555,29.0
339,2024-11-29 19:00:00,8.0,0.03611111111111111,22.0
340,2024-11-29 20:00:00,30.0,0.23805555555555555,96.0
341,2024-11-29 21:00:00,22.0,0.13694444444444445,47.0
342,2024-11-29 22:00:00,18.0,0.1252777777777778,30.0
343,2024-11-29 23:00:00,34.0,0.26666666666666666,101.0
344,2024-11-30 00:00:00,47.0,0.3219444444444445,150.0
345,2024-11-30 01:00:00,28.0,0.15611111111111112,84.0
346,2024-11-30 02:00:00,13.0,0.07722222222222222,33.0
347,2024-11-30 03:00:00,9.0,0.0786111111111111,9.0
348,2024-11-30 04:00:00,36.0,0.16555555555555557,112.0
349,2024-11-30 05:00:00,14.0,0.05583333333333333,44.0
350,2024-11-30 06:00:00,12.0,0.09861111111111112,23.0
351,2024-11-30 07:00:00,4.0,0.020555555555555556,4.0
352,2024-11-30 08:00:00,0.0,0.0,0.0
353,2024-11-30 09:00:00,0.0,0.0,0.0
354,2024-11-30 10:00:00,0.0,0.0,0.0
355,2024-11-30 11:00:00,0.0,0.0,0.0
356,2024-11-30 12:00:00,0.0,0.0,0.0
357,2024-11-30 13:00:00,0.0,0.0,0.0
358,2024-11-30 14:00:00,0.0,0.0,0.0
359,2024-11-30 15:00:00,0.0,0.0,0.0
360,2024-11-30 16:00:00,2.0,0.016666666666666666,2.0
361,2024-11-30 17:00:00,5.0,0.03777777777777778,10.0
362,2024-11-30 18:00:00,13.0,0.10611111111111111,26.0
363,2024-11-30 19:00:00,25.0,0.1811111111111111,73.0
364,2024-11-30 20:00:00,2.0,0.01138888888888889,9.0
365,2024-11-30 21:00:00,6.0,0.030555555555555555,7.0
366,2024-11-30 22:00:00,16.0,0.1625,16.0
367,2024-11-30 23:00:00,35.0,0.2413888888888889,46.0
368,2024-12-01 00:00:00,24.0,0.15055555555555555,24.0
369,2024-12-01 01:00:00,10.0,0.05277777777777778,31.0
370,2024-12-01 02:00:00,25.0,0.14527777777777778,30.0
371,2024-12-01 03:00:00,28.0,0.21333333333333335,87.0
372,2024-12-01 04:00:00,46.0,0.3933333333333333,132.0
373,2024-12-01 05:00:00,2.0,0.008611111111111111,2.0
374,2024-12-01 06:00:00,11.0,0.10527777777777778,14.0
375,2024-12-01 07:00:00,25.0,0.15666666666666668,77.0
376,2024-12-01 08:00:00,0.0,0.0,0.0
377,2024-12-01 09:00:00,0.0,0.0,0.0
378,2024-12-01 10:00:00,0.0,0.0,0.0
379,2024-12-01 11:00:00,0.0,0.0,0.0
380,2024-12-01 12:00:00,0.0,0.0,0.0
381,2024-12-01 13:00:00,0.0,0.0,0.0
382,2024-12-01 14:00:00,0.0,0.0,0.0
383,2024-12-01 15:00:00,0.0,0.0,0.0
384,2024-12-01 16:00:00,14.0,0.10305555555555555,23.0
385,2024-12-01 17:00:00,135.0,1.1152777777777778,312.0
386,2024-12-01 18:00:00,194.0,1.8305555555555555,579.0
387,2024-12-01 19:00:00,22.0,0.23055555555555557,95.0
388,2024-12-01 20:00:00,123.0,0.8916666666666667,312.0
389,2024-12-01 21:00:00,279.0,2.231666666666667,565.0
390,2024-12-01 22:00:00,190.0,1.4925000000000002,488.0
391,2024-12-01 23:00:00,201.0,1.4861111111111112,363.0
392,2024-12-02 00:00:00,194.0,1.511388888888889,417.0
393,2024-12-02 01:00:00,51.0,0.46944444444444444,124.0
394,2024-12-02 02:00:00,136.0,1.0152777777777777,266.0
395,2024-12-02 03:00:00,99.0,0.7252777777777778,222.0
396,2024-12-02 04:00:00,54.0,0.43472222222222223,115.0
397,2024-12-02 05:00:00,29.0,0.4186111111111111,92.0
398,2024-12-02 06:00:00,19.0,0.14972222222222223,51.0
399,2024-12-02 07:00:00,12.0,0.0913888888888889,31.0
400,2024-12-02 08:00:00,6.0,0.05,24.0
401,2024-12-02 09:00:00,0.0,0.0,0.0
402,2024-12-02 10:00:00,0.0,0.0,0.0
403,2024-12-02 11:00:00,0.0,0.0,0.0
404,2024-12-02 12:00:00,0.0,0.0,0.0
405,2024-12-02 13:00:00,0.0,0.0,0.0
406,2024-12-02 14:00:00,0.0,0.0,0.0
407,2024-12-02 15:00:00,7.0,0.028888888888888888,7.0
408,2024-12-02 16:00:00,42.0,0.30666666666666664,74.0
409,2024-12-02 17:00:00,259.0,1.8461111111111113,576.0
410,2024-12-02 18:00:00,217.0,1.9008333333333334,590.0
411,2024-12-02 19:00:00,43.0,0.5247222222222222,97.0
412,2024-12-02 20:00:00,90.0,0.7483333333333333,175.0
413,2024-12-02 21:00:00,257.0,2.3708333333333336,649.0
414,2024-12-02 22:00:00,241.0,2.321388888888889,812.0
415,2024-12-02 23:00:00,349.0,3.5080555555555555,1151.0
416,2024-12-03 00:00:00,388.0,3.2008333333333336,1207.0
417,2024-12-03 01:00:00,152.0,1.0975,390.0
418,2024-12-03 02:00:00,167.0,1.168611111111111,312.0
419,2024-12-03 03:00:00,245.0,1.8191666666666668,517.0
420,2024-12-03 04:00:00,43.0,0.29194444444444445,160.0
421,2024-12-03 05:00:00,57.0,0.5072222222222222,147.0
422,2024-12-03 06:00:00,8.0,0.0761111111111111,29.0
423,2024-12-03 07:00:00,3.0,0.029444444444444443,13.0
424,2024-12-03 08:00:00,3.0,0.013333333333333332,4.0
425,2024-12-03 09:00:00,0.0,0.0,0.0
426,2024-12-03 10:00:00,0.0,0.0,0.0
427,2024-12-03 11:00:00,0.0,0.0,0.0
428,2024-12-03 12:00:00,0.0,0.0,0.0
429,2024-12-03 13:00:00,2.0,0.019722222222222224,3.0
430,2024-12-03 14:00:00,0.0,0.0,0.0
431,2024-12-03 15:00:00,4.0,0.03361111111111111,32.0
432,2024-12-03 16:00:00,99.0,1.1330555555555555,419.0
433,2024-12-03 17:00:00,274.0,2.5666666666666664,817.0
434,2024-12-03 18:00:00,222.0,2.1061111111111113,828.0
435,2024-12-03 19:00:00,62.0,0.8133333333333334,238.0
436,2024-12-03 20:00:00,111.0,0.7802777777777777,210.0
437,2024-12-03 21:00:00,221.0,1.4072222222222224,643.0
438,2024-12-03 22:00:00,315.0,2.2269444444444444,1097.0
439,2024-12-03 23:00:00,305.0,2.8716666666666666,753.0
440,2024-12-04 00:00:00,245.0,2.39,559.0
441,2024-12-04 01:00:00,51.0,0.6958333333333333,121.0
442,2024-12-04 02:00:00,149.0,1.3519444444444444,278.0
443,2024-12-04 03:00:00,135.0,1.1925000000000001,269.0
444,2024-12-04 04:00:00,68.0,0.63,100.0
445,2024-12-04 05:00:00,13.0,0.09611111111111112,19.0
446,2024-12-04 06:00:00,17.0,0.30250000000000005,28.0
447,2024-12-04 07:00:00,11.0,0.15194444444444444,81.0
448,2024-12-04 08:00:00,28.0,0.24027777777777776,110.0
449,2024-12-04 09:00:00,0.0,0.0,0.0
450,2024-12-04 10:00:00,0.0,0.0,0.0
451,2024-12-04 11:00:00,0.0,0.0,0.0
452,2024-12-04 12:00:00,0.0,0.0,0.0
453,2024-12-04 13:00:00,0.0,0.0,0.0
454,2024-12-04 14:00:00,0.0,0.0,0.0
455,2024-12-04 15:00:00,0.0,0.0,0.0
456,2024-12-04 16:00:00,28.0,0.26611111111111113,48.0
457,2024-12-04 17:00:00,251.0,2.1980555555555554,820.0
458,2024-12-04 18:00:00,305.0,3.151666666666667,1148.0
459,2024-12-04 19:00:00,111.0,1.4772222222222222,419.0
460,2024-12-04 20:00:00,73.0,0.7633333333333334,200.0
461,2024-12-04 21:00:00,239.0,2.8919444444444444,628.0
462,2024-12-04 22:00:00,211.0,2.223888888888889,540.0
