carbon_mapping_scenario,year,source_time_index,timestamp_synthetic,region,carbon_intensity_kgco2e_per_kwh,selected_province,candidate_provinces,aggregation_rule,source_status,hour_index,trace_timestamp_anonymized,alignment_status,trace_timestamp_utc,external_alignment_source_hour_index
equal_site_portfolio,2025,1,2025-01-01 00:00:00,east,0.5379375,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 00:00:00+00:00,0
equal_site_portfolio,2025,4,2025-01-01 03:00:00,southwest,0.3774333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,3,2024-11-15 19:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 03:00:00+00:00,3
equal_site_portfolio,2025,5,2025-01-01 04:00:00,east,0.5274,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 04:00:00+00:00,4
equal_site_portfolio,2025,5,2025-01-01 04:00:00,north,0.4096,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 04:00:00+00:00,4
equal_site_portfolio,2025,5,2025-01-01 04:00:00,northwest,0.32775,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 04:00:00+00:00,4
equal_site_portfolio,2025,5,2025-01-01 04:00:00,southwest,0.3831333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 04:00:00+00:00,4
equal_site_portfolio,2025,6,2025-01-01 05:00:00,east,0.5202125,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 05:00:00+00:00,5
equal_site_portfolio,2025,6,2025-01-01 05:00:00,north,0.4009,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 05:00:00+00:00,5
equal_site_portfolio,2025,6,2025-01-01 05:00:00,northwest,0.32635,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 05:00:00+00:00,5
equal_site_portfolio,2025,6,2025-01-01 05:00:00,southwest,0.3795333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 05:00:00+00:00,5
equal_site_portfolio,2025,7,2025-01-01 06:00:00,east,0.5183125,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 06:00:00+00:00,6
equal_site_portfolio,2025,7,2025-01-01 06:00:00,north,0.4152,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 06:00:00+00:00,6
equal_site_portfolio,2025,7,2025-01-01 06:00:00,northwest,0.3624,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 06:00:00+00:00,6
equal_site_portfolio,2025,7,2025-01-01 06:00:00,southwest,0.3337666666666667,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 06:00:00+00:00,6
equal_site_portfolio,2025,8,2025-01-01 07:00:00,east,0.5368375000000001,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 07:00:00+00:00,7
equal_site_portfolio,2025,8,2025-01-01 07:00:00,north,0.4884,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 07:00:00+00:00,7
equal_site_portfolio,2025,8,2025-01-01 07:00:00,northwest,0.43275,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 07:00:00+00:00,7
equal_site_portfolio,2025,8,2025-01-01 07:00:00,southwest,0.3080333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 07:00:00+00:00,7
equal_site_portfolio,2025,9,2025-01-01 08:00:00,east,0.5419,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 08:00:00+00:00,8
equal_site_portfolio,2025,9,2025-01-01 08:00:00,north,0.5188,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 08:00:00+00:00,8
equal_site_portfolio,2025,9,2025-01-01 08:00:00,northwest,0.4487,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 08:00:00+00:00,8
equal_site_portfolio,2025,9,2025-01-01 08:00:00,southwest,0.285,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 08:00:00+00:00,8
equal_site_portfolio,2025,10,2025-01-01 09:00:00,east,0.4780625,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 09:00:00+00:00,9
equal_site_portfolio,2025,10,2025-01-01 09:00:00,north,0.5622,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 09:00:00+00:00,9
equal_site_portfolio,2025,10,2025-01-01 09:00:00,northwest,0.5867,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 09:00:00+00:00,9
equal_site_portfolio,2025,10,2025-01-01 09:00:00,southwest,0.2808333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 09:00:00+00:00,9
equal_site_portfolio,2025,11,2025-01-01 10:00:00,east,0.4206249999999999,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 10:00:00+00:00,10
equal_site_portfolio,2025,11,2025-01-01 10:00:00,north,0.5814,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 10:00:00+00:00,10
equal_site_portfolio,2025,11,2025-01-01 10:00:00,northwest,0.6198,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 10:00:00+00:00,10
equal_site_portfolio,2025,11,2025-01-01 10:00:00,southwest,0.2954333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 10:00:00+00:00,10
equal_site_portfolio,2025,12,2025-01-01 11:00:00,east,0.3712,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 11:00:00+00:00,11
equal_site_portfolio,2025,12,2025-01-01 11:00:00,north,0.5815,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 11:00:00+00:00,11
equal_site_portfolio,2025,12,2025-01-01 11:00:00,northwest,0.59195,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 11:00:00+00:00,11
equal_site_portfolio,2025,12,2025-01-01 11:00:00,southwest,0.2873333333333333,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 11:00:00+00:00,11
equal_site_portfolio,2025,13,2025-01-01 12:00:00,east,0.3155125,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 12:00:00+00:00,12
equal_site_portfolio,2025,13,2025-01-01 12:00:00,north,0.5624,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 12:00:00+00:00,12
equal_site_portfolio,2025,13,2025-01-01 12:00:00,northwest,0.5223,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 12:00:00+00:00,12
equal_site_portfolio,2025,13,2025-01-01 12:00:00,southwest,0.2890999999999999,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 12:00:00+00:00,12
equal_site_portfolio,2025,14,2025-01-01 13:00:00,east,0.3062375,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 13:00:00+00:00,13
equal_site_portfolio,2025,14,2025-01-01 13:00:00,north,0.5401,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 13:00:00+00:00,13
equal_site_portfolio,2025,14,2025-01-01 13:00:00,northwest,0.47135,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 13:00:00+00:00,13
equal_site_portfolio,2025,14,2025-01-01 13:00:00,southwest,0.2788,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 13:00:00+00:00,13
equal_site_portfolio,2025,15,2025-01-01 14:00:00,east,0.32215,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 14:00:00+00:00,14
equal_site_portfolio,2025,15,2025-01-01 14:00:00,north,0.5737,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 14:00:00+00:00,14
equal_site_portfolio,2025,15,2025-01-01 14:00:00,northwest,0.48685,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 14:00:00+00:00,14
equal_site_portfolio,2025,15,2025-01-01 14:00:00,southwest,0.2738666666666667,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 14:00:00+00:00,14
equal_site_portfolio,2025,16,2025-01-01 15:00:00,east,0.367275,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 15:00:00+00:00,15
equal_site_portfolio,2025,16,2025-01-01 15:00:00,north,0.6294,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 15:00:00+00:00,15
equal_site_portfolio,2025,16,2025-01-01 15:00:00,northwest,0.50395,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 15:00:00+00:00,15
equal_site_portfolio,2025,16,2025-01-01 15:00:00,southwest,0.2916666666666667,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 15:00:00+00:00,15
equal_site_portfolio,2025,17,2025-01-01 16:00:00,east,0.4858375,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 16:00:00+00:00,16
equal_site_portfolio,2025,17,2025-01-01 16:00:00,north,0.7028,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 16:00:00+00:00,16
equal_site_portfolio,2025,17,2025-01-01 16:00:00,northwest,0.611,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 16:00:00+00:00,16
equal_site_portfolio,2025,17,2025-01-01 16:00:00,southwest,0.2208999999999999,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 16:00:00+00:00,16
equal_site_portfolio,2025,18,2025-01-01 17:00:00,east,0.5164124999999999,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 17:00:00+00:00,17
equal_site_portfolio,2025,18,2025-01-01 17:00:00,north,0.734,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 17:00:00+00:00,17
equal_site_portfolio,2025,18,2025-01-01 17:00:00,northwest,0.50955,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 17:00:00+00:00,17
equal_site_portfolio,2025,18,2025-01-01 17:00:00,southwest,0.1912666666666667,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 17:00:00+00:00,17
equal_site_portfolio,2025,19,2025-01-01 18:00:00,east,0.512,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 18:00:00+00:00,18
equal_site_portfolio,2025,19,2025-01-01 18:00:00,north,0.7295,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 18:00:00+00:00,18
equal_site_portfolio,2025,19,2025-01-01 18:00:00,northwest,0.50175,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 18:00:00+00:00,18
equal_site_portfolio,2025,19,2025-01-01 18:00:00,southwest,0.1611666666666666,,Chongqing|Sichuan|Guizhou,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 18:00:00+00:00,18
equal_site_portfolio,2025,20,2025-01-01 19:00:00,east,0.5057875000000001,,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 19:00:00+00:00,19
equal_site_portfolio,2025,20,2025-01-01 19:00:00,north,0.7135,,Inner Mongolia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 19:00:00+00:00,19
equal_site_portfolio,2025,20,2025-01-01 19:00:00,northwest,0.4936,,Gansu|Ningxia,arithmetic mean across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,cyclic ordinal alignment to projected 2025 S1 CEF; not contemporaneous Azure carbon,2024-05-10 19:00:00+00:00,19
