carbon_mapping_scenario,year,source_time_index,timestamp_synthetic,region,carbon_intensity_kgco2e_per_kwh,selected_province,candidate_provinces,aggregation_rule,source_status,hour_index,trace_timestamp_anonymized,alignment_status
conservative_site_selection,2025,1,2025-01-01 00:00:00,east,0.7448,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,0,2024-11-15 16:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,3,2025-01-01 02:00:00,southwest,0.7576,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,2,2024-11-15 18:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,4,2025-01-01 03:00:00,east,0.7478,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,3,2024-11-15 19:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,4,2025-01-01 03:00:00,north,0.4098,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,3,2024-11-15 19:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,4,2025-01-01 03:00:00,northwest,0.5962,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,3,2024-11-15 19:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,4,2025-01-01 03:00:00,southwest,0.7719,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,3,2024-11-15 19:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,5,2025-01-01 04:00:00,east,0.7504,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,5,2025-01-01 04:00:00,north,0.4096,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,5,2025-01-01 04:00:00,northwest,0.5908,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,5,2025-01-01 04:00:00,southwest,0.7714,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,4,2024-11-15 20:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,6,2025-01-01 05:00:00,east,0.7467,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,6,2025-01-01 05:00:00,north,0.4009,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,6,2025-01-01 05:00:00,northwest,0.5847,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,6,2025-01-01 05:00:00,southwest,0.7541,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,5,2024-11-15 21:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,7,2025-01-01 06:00:00,east,0.7378,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,7,2025-01-01 06:00:00,north,0.4152,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,7,2025-01-01 06:00:00,northwest,0.5999,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,7,2025-01-01 06:00:00,southwest,0.6571,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,6,2024-11-15 22:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,8,2025-01-01 07:00:00,east,0.7407,Tianjin,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,8,2025-01-01 07:00:00,north,0.4884,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,8,2025-01-01 07:00:00,northwest,0.653,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,8,2025-01-01 07:00:00,southwest,0.5925,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,7,2024-11-15 23:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,9,2025-01-01 08:00:00,east,0.7461,Tianjin,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,9,2025-01-01 08:00:00,north,0.5188,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,9,2025-01-01 08:00:00,northwest,0.6787,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,9,2025-01-01 08:00:00,southwest,0.5332,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,8,2024-11-16 00:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,10,2025-01-01 09:00:00,east,0.7215,Tianjin,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,10,2025-01-01 09:00:00,north,0.5622,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,10,2025-01-01 09:00:00,northwest,0.7104,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,10,2025-01-01 09:00:00,southwest,0.5454,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,9,2024-11-16 01:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,11,2025-01-01 10:00:00,east,0.6708,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,11,2025-01-01 10:00:00,north,0.5814,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,11,2025-01-01 10:00:00,northwest,0.6601,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,11,2025-01-01 10:00:00,southwest,0.6281,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,10,2024-11-16 02:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,12,2025-01-01 11:00:00,east,0.6495,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,12,2025-01-01 11:00:00,north,0.5815,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,12,2025-01-01 11:00:00,northwest,0.6217,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,12,2025-01-01 11:00:00,southwest,0.613,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,11,2024-11-16 03:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,13,2025-01-01 12:00:00,east,0.6219,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,13,2025-01-01 12:00:00,north,0.5624,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,13,2025-01-01 12:00:00,northwest,0.5939,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,13,2025-01-01 12:00:00,southwest,0.6242,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,12,2024-11-16 04:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,14,2025-01-01 13:00:00,east,0.6181,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,14,2025-01-01 13:00:00,north,0.5401,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,14,2025-01-01 13:00:00,northwest,0.5945,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,14,2025-01-01 13:00:00,southwest,0.6014,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,13,2024-11-16 05:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,15,2025-01-01 14:00:00,east,0.6264,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,15,2025-01-01 14:00:00,north,0.5737,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,15,2025-01-01 14:00:00,northwest,0.6318,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,15,2025-01-01 14:00:00,southwest,0.5712,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,14,2024-11-16 06:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,16,2025-01-01 15:00:00,east,0.6608,Tianjin,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,16,2025-01-01 15:00:00,north,0.6294,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,16,2025-01-01 15:00:00,northwest,0.6571,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,16,2025-01-01 15:00:00,southwest,0.6258,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,15,2024-11-16 07:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,17,2025-01-01 16:00:00,east,0.7382,Tianjin,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,17,2025-01-01 16:00:00,north,0.7028,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,17,2025-01-01 16:00:00,northwest,0.7189,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,17,2025-01-01 16:00:00,southwest,0.5383,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,16,2024-11-16 08:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,18,2025-01-01 17:00:00,east,0.727,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,18,2025-01-01 17:00:00,north,0.734,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,18,2025-01-01 17:00:00,northwest,0.7211,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,18,2025-01-01 17:00:00,southwest,0.5117,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,17,2024-11-16 09:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,19,2025-01-01 18:00:00,east,0.7247,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,19,2025-01-01 18:00:00,north,0.7295,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,19,2025-01-01 18:00:00,northwest,0.7199,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,19,2025-01-01 18:00:00,southwest,0.4249,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,18,2024-11-16 10:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,20,2025-01-01 19:00:00,east,0.695,Hebei,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,20,2025-01-01 19:00:00,north,0.7135,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,20,2025-01-01 19:00:00,northwest,0.7124,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,20,2025-01-01 19:00:00,southwest,0.4332,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,19,2024-11-16 11:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,21,2025-01-01 20:00:00,east,0.6934,Hebei,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,20,2024-11-16 12:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,21,2025-01-01 20:00:00,north,0.6856,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,20,2024-11-16 12:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,21,2025-01-01 20:00:00,northwest,0.7212,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,20,2024-11-16 12:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,21,2025-01-01 20:00:00,southwest,0.4478,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,20,2024-11-16 12:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,22,2025-01-01 21:00:00,east,0.693,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,21,2024-11-16 13:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,22,2025-01-01 21:00:00,north,0.671,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,21,2024-11-16 13:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,22,2025-01-01 21:00:00,northwest,0.7312,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,21,2024-11-16 13:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,22,2025-01-01 21:00:00,southwest,0.4647,Guizhou,Chongqing|Sichuan|Guizhou,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,21,2024-11-16 13:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,23,2025-01-01 22:00:00,east,0.7079,Anhui,Beijing|Tianjin|Hebei|Shanghai|Jiangsu|Zhejiang|Anhui|Guangdong,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,22,2024-11-16 14:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,23,2025-01-01 22:00:00,north,0.6575,Inner Mongolia,Inner Mongolia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,22,2024-11-16 14:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
conservative_site_selection,2025,23,2025-01-01 22:00:00,northwest,0.7121,Ningxia,Gansu|Ningxia,hourly maximum across candidate hub provinces,projected provincial S1 CEF; not observed historical CEF,22,2024-11-16 14:00:00,ordinal hour alignment to projected 2025 S1 CEF; dates are not contemporaneous
